Date,ITO,DTU,Sirifort,Shadipur,Dwarka,IHBAS,RK Puram,Mandir Marg,P0jabi bagh,Anand Vihar,Aya Nagar,IGI Air1rt-3,Burari Crossing,Pusa IMD
01-07-2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0
02-07-2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0
03-07-2018,1,0,1,1,0,0,0,0,0,1,0,0,0,0
04-07-2018,1,0,0,1,0,1,0,0,0,1,0,0,0,0
05-07-2018,1,0,0,1,0,1,0,0,0,1,0,0,0,0
06-07-2018,1,0,0,1,1,1,0,0,0,1,1,0,0,0
07-07-2018,1,1,0,1,1,1,1,0,0,1,0,0,0,0
08-07-2018,1,1,1,1,1,0,1,1,1,1,1,0,0,0
09-07-2018,1,1,1,0,1,1,1,1,1,1,1,0,0,0
10-07-2018,1,0,0,0,1,1,0,0,1,1,0,0,0,0
11-07-2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12-07-2018,0,0,0,0,1,1,0,0,0,1,0,0,0,0
13-07-2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14-07-2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-07-2018,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16-07-2018,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17-07-2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18-07-2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19-07-2018,0,0,0,0,0,0,1,0,1,1,0,0,0,0
20-07-2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21-07-2018,0,0,0,0,1,1,0,0,1,1,0,0,0,0
22-07-2018,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23-07-2018,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24-07-2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0
25-07-2018,0,0,1,0,0,0,0,0,1,1,0,0,0,0
26-07-2018,0,0,0,0,0,0,0,0,1,1,0,0,0,0
27-07-2018,0,0,0,0,0,0,0,0,1,1,0,0,0,0
28-07-2018,0,0,0,0,0,0,0,0,1,1,0,0,0,0
29-07-2018,0,0,1,0,1,0,0,0,0,1,1,0,0,0
30-07-2018,0,0,1,0,1,0,0,0,0,1,0,0,0,0
31-07-2018,1,0,1,0,1,1,0,1,0,1,0,0,0,0
01-08-2018,1,0,0,0,1,1,1,1,0,1,1,0,0,0
02-08-2018,1,1,0,1,1,1,1,1,1,1,1,0,0,1
03-08-2018,1,1,0,0,1,1,1,1,0,1,1,0,0,0
04-08-2018,1,0,0,1,1,1,1,1,1,1,1,0,0,1
05-08-2018,1,0,0,0,1,1,1,1,0,1,1,0,0,1
06-08-2018,1,0,0,0,0,0,1,0,0,1,1,0,0,0
07-08-2018,0,0,1,0,0,0,0,0,0,1,0,0,0,0
08-08-2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0
09-08-2018,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10-08-2018,1,0,1,0,0,1,0,0,0,1,0,0,1,0
11-08-2018,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12-08-2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13-08-2018,0,0,0,0,1,0,0,0,0,0,0,0,1,0
